2012-729564		AbbVie Inc.	US
2007-765353	8735545	"Xencor, Inc."	US
2012-001218		CHUGAI SEIYAKU KABUSHIKI KAISHA	JP
2006-996776	8658174	Qinghua Wang	US
2007-952568	8652466	"MacroGenics, Inc."	US
2013-804965		SANOFI	FR
2013-941449		Zymeworks Inc.	CA
2008-152395	8546539	Novimmune S.A.	CH
2007-377122	8513393	Ares Trading S.A.	CH
2012-431489	D683565	Tser Wen Chou	TW
2006-329293	8486391	"Board of Regents, University of Texas System"	US
2011-286707		Abbott Laboratories	
2012-438638	8501191	"Five Prime Therapeutics, Inc."	US
2007-447204	8470318	The Rockefeller University	US
2013-860500		"XENCOR, INC."	US
2007-982738	8455428	"Acceleron Pharma, Inc."	US
2007-516914	8455622	"Seattle Genetics, Inc."	US
2012-446254	8575312	"Five Prime Therapeutics, Inc."	US
2012-729353		Abbvie Inc.	US
2007-764001	8388955	"Xencor, Inc."	US
2004-761435	8367374	Roche GlycArt AG	CH
2010-759801	8110665	"Hanmi Holdings Co., Ltd."	KR
2006-502820	8217147	"MacroGenics, Inc."	US
2011-638821		"HANMI SCIENCE CO., LTD."	KR
2011-574686		Novo Nordisk A/S	DK
2006-475627	8206718	Merck Patent GmbH	DE
2013-896973		"Abraxis BioScience, LLC"	US
2008-022772	8192737	"MacroGenics, Inc."	US
2006-585505	8193322	Amgen Inc.	US
2010-905474	8716450	AbbVie Inc.	US
2005-124620	8188231	"Xencor, Inc."	US
2013-872790		NOVAGEN HOLDING CORPORATION	KY
2008-012525	8173601	"Acceleron Pharma, Inc."	US
2008-043769	8163289	"Iterative Therapeutics, Inc."	US
2013-907798		"Acceleron Pharma, Inc."	US
2011-196724		Roche GlycArt AG	CH
2005-631461	8143380	Amgen Inc.	US
2011-217937		Abbott Laboratories.	
2005-910962	8124094	"Hanmi Holdings Co., Ltd."	KR
2013-095542		The Rockefeller University	US
2007-927444	8124731	"Xencor, Inc."	US
2013-892198		Zymeworks Inc.	CA
2008-020443	8101720	"Xencor, Inc."	US
2011-583973		SYNAGEVA BIOPHARMA CORP.	US
2006-483378	8093357	"Xencor, Inc."	US
2013-842345		YANTAI RC BIOTECHNOLOGIES	CN
2007-981822	8093359	"Xencor, Inc."	US
2005-174287	8084582	"Xencor, Inc."	US
2011-008165	8088376	"Xencor, Inc."	US
2011-641012		SANOFI	FR
2006-525280	8080254	"Amgen, Inc."	US
2012-005580		Ramot at Tel-Aviv University Ltd.	IL
2007-087683	8075884	"Alexion Pharmaceuticals, Inc."	US
2013-799932		Nikolaos Tezapsidis	US
2007-947982		"Genentech, Inc."	US
2013-915608	8753628	"Xencor, Inc."	US
2008-048343	8067232	"Kyowa Hakko Kirin Co., Ltd"	JP
2013-946920		"GENENTECH, INC."	US
2008-180455	8067548	Novagen Holding Corporation	KY
2013-944306		"SBC Virbac Biotech Co., Ltd."	TW
2008-156183	8063187	"Xencor, Inc."	US
2013-826217		SANOFI	FR
2007-978104	8043829	Amgen Inc.	US
2011-239654		BOEHRINGER INGELHEIM INTERNATIONAL GMBH	DE
2006-084459	8038993	LFB Biotechnologies	FR
2013-846527		"Xencor, Inc."	US
2007-981823	8039592	"Xencor, Inc."	US
2005-199232	8021856	Roche GlycArt AG	CH
2011-009820	8362210	"Xencor, Inc."	US
2004-551004	8007813	Apogenix GmbH | Deutsches Krebsforschungszentrum Stiftung Des Offentlichen Rechts	DE | DE
2010-657573		THE TRUSTEE OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK	
2011-884265		Ying Liu	CN
2006-912562	8008443	"MedImmune, LLC"	US
2011-638786		"HANMI SCIENCE CO., LTD."	KR
2006-502761	8008453	Amgen Inc.	US
2008-022762	8003774	"MacroGenics, Inc."	US
2013-896070		The Rockefeller University	US
2011-196138	8735546	AbbVie Inc.	US
2005-628720		RAMOT AT TEL AVIV UNIVERSITY LTD.	IL
2010-777952		"SAPPHIRE ENERGY, INC."	US
2004-902588	7960512	"MacroGenics, Inc."	US
2005-089426	7955590	Merck Patent GmbH	DE
2010-894278	8158581	"Regeneron Pharmaceuticals, Inc."	US
2011-880175		"HANDOK PHARMACEUTICALS CO., LTD."	KR
2006-887481		"DIVERSA CORPORATION | MEDAREX, INC."	us
2012-118269		"MOMENTA PHARMACEUTICALS, INC."	US
2012-346604	8383109	"Xencor, Inc."	US
2007-278182	D588943	Global Watch Industries Srl	IT
2007-305678	7932055	Novo Nordisk A/S	DK
2012-422196	D679424	"LG Hausys, Ltd."	KR
2011-638362		ZYMEWORKS INC	CA
2006-491501	7923538	"Kyowa Hakko Kirin Co., Ltd"	JP
2003-437388	7906329	Glycart Biotechnology AG	CH
2009-866579		"Medimmune, LLC"	US
2013-094543		"The Brigham and Women's Hospital, Inc."	US
2007-925007	7887809	Yale University	US
2013-934271		"Medlmmune, LLC | Biowa, Inc."	US | US
2008-130002	7867491	"Genexine Co., Ltd. | Postech Academy-Industry Foundation of Pohang University of Science and Technology"	KR | KR
2006-360938	7863419	Biogen Idec MA Inc.	US
2011-308334	8273328	Roche GlycArt AG	CH
2010-959220	8722615	"Acceleron Pharma, Inc."	US
2005-134428	7858092	Yale University	US
2013-057243		Daniel Schindler | Harry M. Meade | Timothy Edmunds | John McPherson	US | US | US | US
2007-889981	7846432	GlycArt Biotechnology AG	CH
2013-922897		TOPOTARGET SWITZERLAND SA	CH
2008-060617	7846725	"Kyowa Hakko Kirin Co., Ltd"	JP
2012-434765		f-star Biotechnologische Forschungs-und Entwicklungsges.m.b.H.	AT
