2004-996833	7582330	3M	US
2005-284541	7687115	3M	US
2005-089347	7172811	3M	US
2005-089323	7255923	3M	US
2006-534431	7364716	3M	US
2011-100645	8501854	3M	US
2005-121479	7666494	3M	US
2009-554441	7993748	3M	US
2009-629599	8217406	ABL IP Holding	US
2008-127339	8021008	ABL IP Holding	US
2011-051596	8461752	ABL IP Holding	US
2011-294149		Acer	TW
2011-294166		Acer	TW
2006-910305		Agency for Science	
2008-598192	2010-05-13	Agency for Science	
2009-866234		Agency for Science	
2007-449227		Agency for Science	
2007-682526	8436334	Agency for Science	
2005-909613		Agency for Science	
2006-440330	8629425	Agency for Science	
2006-442180	8120012	Agency for Science	
2007-784729	7687705	Alabama A&m University	US
2009-457463	7968863	Alcatel Lucent	FR
2006-456428	7952109	Alcatel Lucent	FR
2008-284972	7570864	Alcatel Lucent	FR
2011-187276	8685781	Alliance for Sustainable Energy	US
2010-658204	8021641	Alliance for Sustainable Energy | Heliovolt	US
2011-096816	8162648	American GFM	US
2006-403327	7955548	American GFM	US
2011-096785	8101115	American GFM	US
2012-665701		Apple	US
2012-665616		Apple	US
2012-665271		Apple	US
2012-630785		Apple	US
2004-825826	7250319	Applied Materials	US
2004-559981	7589003	Arizona State University	US
2004-559979	7598513	Arizona State University	US
2006-402031	7674641	Atomic Energy Council	TW
2007-976444	7896723	Atomic Energy Council	TW
2005-320818	7635603	Atomic Energy Council	TW
2006-454949	7569984	Atomic Energy Council	TW
2005-221851		Atomic Energy Council	TW
2010-899841	8269411	AU Optronics Corporation	TW
2012-407691	8593586	AU Optronics Corporation	TW
2005-195199	7495383	Avago Technologies	SG
2004-966534	7102152	Avago Technologies	SG
2004-992142	7481562	Avago Technologies	SG
2006-402667		Avago Technologies	SG
2004-999352		Avago Technologies	SG
2005-161456	7662659	Banpil Photonics	US
2009-646474	8324414	Battelle Energy Alliance	US
2004-554765	7713624	Bayer Technology	DE
2011-012637	8324815	Biological Illumination	US
2012-608935	8476829	Biological Illumination	US
2013-059767		BOE Technology	CN
2013-079233		BOE Technology	CN
2013-072247		BOE Technology	CN
2011-190884		Brother International	US
2008-251207	8164083	Brother International	US
2011-314688	8569739	California Institute of Technology	US
2007-439148	8323789	CAMBRIDGE ENTERPRISE	GB
2006-441498	2007-11-29	Cambridge Enterprise	GB
2005-322814	7485892	Carl Zeiss Meditec | Lehigh University	US
2009-990627	8313969	CEA	FR
2005-202316	7494831	CEA	FR
2011-043185	8309947	CEA	FR
2005-662491	7696533	Centre national de la recherche scientifique l Montpellier 2 University	FR
2008-744157	8753592	Centrum f?r Angewandte Nanotechnologie 	DE
2004-554896	7651771	Centrum f?r Angewandte Nanotechnologie 	DE
2005-158111	7476599	Changchun Institute of Applied Chemistry	CN
2011-217522		CHI LIN TECHNOLOGY	TW
2005-282757		Chungshan Institute of Science and Technology	TW
2011-642513		CIC biomaGUNE	ES
2010-882868	8470618	CNRS	FR
2007-225039		CNRS	FR
2006-922970		COMMISSARIAT A L'ENERGIE ATOMIQUE	FR
2013-828169		CORNING	US
2010-880293		CORNING	US
2006-404466	7817896	CORNING	US
2013-837442		CREE	US
2005-197620	8454927	CRYSTALPLEX	US
2007-975851		CRYSTALPLEX	US
2008-680638	8563968	DAI NIPPON PRINTING	JP
2008-680439	8334527	DAI NIPPON PRINTING	JP
2008-680418	8384064	DAI NIPPON PRINTING	JP
2008-235056		DAI NIPPON PRINTING	JP
2008-680036		DAI NIPPON PRINTING	JP
2008-680046		DAI NIPPON PRINTING	JP
2008-239133	8043793	DAI NIPPON PRINTING	JP
2008-236000		DAI NIPPON PRINTING	JP
2006-641738		DELTA ELECTRONICS	TW
2011-325274	8684546	DOLBY LABORATORIES	US
2011-993181		DOLBY LABORATORIES	US
2009-457923		DOT METRIC TECHNOLOGY	US
2004-933941	7554109	DOT METRIC TECHNOLOGY	US
2011-275595	8784703	Eastman Kodak	US
2007-928292	7777233	Eastman Kodak	US
2010-791173	8242515	Eastman Kodak	US
2007-693334	7564067	Eastman Kodak	US
2007-680195	7781957	Eastman Kodak	US
2007-517213	8263683	Eastman Kodak	US
2007-770833	8361823	Eastman Kodak	US
2008-266775	7919342	Eastman Kodak	US
2007-683479	7888700	Eastman Kodak	US
2005-226622	7615800	Eastman Kodak	US
2007-755055	8785906	Eastman Kodak	US
2007-837026	7838889	Eastman Kodak	US
2007-755037	7772757	Eastman Kodak	US
2006-394518	7888692	?cole Polytechnique F?d?rale de Lausanne	CH
2009-435213	8076217	Empire Technology	US
2011-293932	8598566	Empire Technology	US
2011-034146		EPSON	JP
2006-997758		E-Tech	CH
2011-574840		EUROPEAN NANO INVEST AB	SE
2008-052380		Evident Technologies	US
2010-713786	8562939	Evident Technologies	US
2005-125129	7399429	Evident Technologies	US
2007-001581	7785657	Evident Technologies	US
2009-582793		Evident Technologies	US
2007-752748		Evident Technologies	US
2009-579829		Evident Technologies	US
2007-747701		Evident Technologies	US
2004-931194	7378680	Finisar	US
2008-682710	8551763	Fio	CA
2006-397019	7449789	Foxconn	TW
2006-307725		Foxconn	TW
2005-303269		Foxconn	TW
2013-886458		FUJI Film	JP
2006-354685	8044293	General Motors	US
2005-064675	7217959	Genesis Photonics	TW
2004-929354	7005667	Genesis Photonics	TW
2008-215158	7778301	Georgia Tech Research Corporation	US
2007-693265		Global OLED Technology	US
2007-744950		Global OLED Technology	US
2010-857543	8754447	Globalfoundries Singapore	SG
2011-107732	8508830	Google	US
2008-129304		HCF	US
2009-262427		HCF	US
2008-738404		HCF	US
2007-519357	8334154	Helmholtz Zentrum Berlin	DE
2004-927488	7318957	HITHACHI	JP
2013-915468		Honda l University of Stanford	US
2011-065582	8551868	Honda l University of Stanford	US
2005-665735	7829154	HOYA	JP
2007-227932	8089061	HOYA	JP
2005-587029	7880377	HOYA	JP
2005-271354	7309642	HP	US
2004-758801	6783418	HP	US
2004-994944	7208133	IBM	US
2004-779457		IBM	US
2007-957108	7892519	Idaho State University	US
2012-493121	8736166	Imaging Systems Technology?	US
2010-946152	8339041	Imaging Systems Technology?	US
2008-262041	7737008	IMEC	BE
2004-024801	7192850	Industrial Technology Research Institute	TW
2005-187829	7303937	Industrial Technology Research Institute	TW
2008-022020	7678359	Industrial Technology Research Institute	TW
2004-007882	7507599	Industrial Technology Research Institute	TW
2005-187828		Industrial Technology Research Institute	TW
2004-998603		Industrial Technology Research Institute	TW
2009-494706	7935388	Industrial Technology Research Institute	TW
2006-489470	7498224	Industrial Technology Research Institute	TW
2004-919323	7102153	Industrial Technology Research Institute	TW
2004-020764	7342260	Industrial Technology Research Institute	TW
2005-155774		Industrial Technology Research Institute	TW
2007-874834	7884384	Industrial Technology Research Institute	TW
2005-320654	7242030	Industrial Technology Research Institute	TW
2011-339388	8536614	Industrial Technology Research Institute | National Cheng-Kung University	TW
2007-864059	7642562	Innolume	DE
2013-100381		Innolux	TW
2009-609875		INSTITUT NATIONAL D'OPTIQUE	CA
